researcher_id;project_id
18;1
20;1
109;1
24;1
77;1
113;1
78;1
98;1
44;1
78;1
83;1
94;1
33;1
63;1
22;1
83;1
102;1
3;1
51;1
62;1
21;1
46;1
81;1
75;1
103;1
96;1
9;2
30;2
80;2
39;2
58;2
101;2
18;2
32;2
54;2
76;2
112;2
41;2
51;2
59;2
86;2
6;2
8;2
21;2
57;2
67;2
100;2
89;2
98;2
3;2
56;2
105;2
24;2
17;2
57;2
41;3
70;3
88;3
17;3
62;3
82;3
109;3
47;3
73;3
90;3
6;3
49;3
64;3
77;3
25;3
40;3
14;3
21;3
73;3
16;3
18;3
32;3
39;3
59;3
61;3
74;3
82;3
97;3
27;3
11;3
75;3
99;3
31;4
89;4
100;4
32;4
60;4
68;4
74;4
100;4
102;4
10;4
71;4
15;4
28;4
36;4
58;4
72;4
111;4
35;4
109;4
57;4
63;4
79;4
1;4
55;4
40;4
62;4
76;4
5;4
16;4
18;4
104;4
9;4
105;4
32;5
34;5
56;5
44;5
81;5
4;5
35;5
14;5
39;5
43;5
80;5
85;5
114;5
12;5
20;5
76;5
78;5
110;5
117;5
59;5
7;5
87;5
30;5
120;5
67;5
14;6
93;6
37;6
94;6
36;6
24;6
58;6
66;6
114;6
40;6
97;6
14;6
67;6
88;6
105;6
25;6
81;6
117;6
6;6
60;6
113;6
32;6
43;7
97;7
6;7
103;7
59;7
113;7
34;7
62;7
79;7
92;7
95;7
108;7
42;7
63;7
106;7
13;7
46;7
61;7
69;7
99;7
81;7
107;7
43;7
71;7
88;7
6;8
45;8
95;8
103;8
61;8
90;8
116;8
4;8
87;8
3;8
32;8
44;8
72;8
105;8
117;8
90;8
113;8
89;8
97;8
7;8
23;8
87;8
114;8
53;8
104;8
33;8
29;9
68;9
104;9
10;9
89;9
27;9
34;9
39;9
64;9
77;9
40;9
52;9
67;9
80;9
96;9
76;9
102;9
105;9
109;9
9;9
11;9
14;9
55;9
58;9
108;9
110;9
68;9
20;9
82;9
99;9
111;9
118;9
13;9
114;9
11;10
107;10
110;10
85;10
91;10
98;10
2;10
82;10
14;10
33;10
104;10
119;10
12;10
30;10
101;10
20;10
44;10
78;10
88;10
17;10
60;10
65;10
67;10
57;10
19;10
25;10
71;10
3;10
11;10
58;10
60;10
1;11
4;11
114;11
3;11
35;11
51;11
63;11
69;11
106;11
26;11
55;11
100;11
109;11
119;11
5;11
21;11
2;11
23;11
60;11
31;11
107;11
4;11
11;11
19;11
62;11
65;11
110;11
7;11
80;11
87;11
101;11
6;11
39;11
110;11
87;11
24;12
66;12
116;12
118;12
1;12
12;12
71;12
93;12
118;12
38;12
47;12
75;12
83;12
102;12
58;12
100;12
92;12
86;12
80;12
39;12
105;12
55;13
56;13
114;13
103;13
61;13
88;13
118;13
24;13
25;13
38;13
62;13
2;13
7;13
71;13
97;13
43;13
86;13
41;13
77;13
108;13
113;13
79;13
84;13
26;13
52;13
67;13
78;13
1;13
13;13
50;13
68;13
107;13
81;14
27;14
48;14
99;14
30;14
120;14
27;14
61;14
103;14
118;14
21;14
75;14
77;14
117;14
33;14
94;14
100;14
103;14
119;14
25;14
50;14
102;14
21;14
91;14
68;14
115;14
77;15
98;15
26;15
53;15
75;15
84;15
85;15
7;15
9;15
65;15
25;15
46;15
89;15
34;15
64;15
99;15
118;15
43;15
92;15
74;15
120;15
9;15
34;15
67;15
98;15
5;16
94;16
5;16
69;16
110;16
114;16
46;16
11;16
99;16
44;16
51;16
70;16
83;16
85;16
88;16
23;16
94;16
9;16
12;16
10;16
28;16
44;16
98;16
32;16
33;16
44;16
79;16
82;16
69;17
73;17
78;17
111;17
22;17
53;17
67;17
116;17
2;17
12;17
37;17
113;17
93;17
74;17
102;17
119;17
31;17
45;17
91;17
106;17
80;17
104;17
27;17
76;17
85;17
103;17
75;18
11;18
15;18
105;18
112;18
88;18
94;18
104;18
19;18
45;18
46;18
56;18
10;18
28;18
120;18
41;18
79;18
13;18
48;18
100;18
115;18
3;18
10;18
40;18
43;18
58;18
63;18
91;18
28;19
41;19
45;19
1;19
19;19
38;19
57;19
74;19
101;19
17;19
91;19
33;19
75;19
88;19
54;19
27;19
84;19
6;19
56;19
70;19
81;19
115;19
22;19
63;19
107;19
108;19
8;19
9;19
37;19
43;19
118;19
110;19
26;19
71;19
38;20
117;20
119;20
9;20
83;20
7;20
8;20
24;20
29;20
50;20
86;20
25;20
97;20
106;20
109;20
110;20
19;20
91;20
94;20
90;20
20;20
31;20
52;20
110;20
117;20
1;20
12;20
64;20
72;20
92;20
105;20
113;20
72;20
70;20
48;21
49;21
23;21
84;21
96;21
102;21
107;21
7;21
17;21
90;21
38;21
42;21
86;21
51;21
91;21
100;21
101;21
21;21
42;21
49;21
63;21
114;21
5;21
53;21
13;21
83;21
19;21
73;21
12;22
16;22
35;22
65;22
86;22
13;22
33;22
6;22
14;22
37;22
60;22
83;22
96;22
11;22
31;22
82;22
103;22
112;22
104;22
26;22
32;22
103;22
28;22
50;22
55;22
60;22
82;22
106;22
68;22
34;22
106;22
118;22
91;22
5;22
22;22
70;22
1;22
64;22
21;23
53;23
112;23
31;23
64;23
46;23
65;23
66;23
106;23
27;23
101;23
84;23
68;23
8;23
47;23
96;23
102;23
107;23
111;23
120;23
41;23
70;23
85;23
6;23
23;23
69;23
70;23
65;23
108;23
25;24
54;24
3;24
68;24
70;24
43;24
48;24
4;24
15;24
39;24
64;24
72;24
92;24
59;24
85;24
